date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
12-12,7.7,5.36,13.46,9.86,18.5,14.36,29.3,18.5,21.38,24.08,21.92,3.2,7.16,23.72,18.5,20.84,21.92,24.44,12.02,16.88,12.38,28.22,16.7,23.72,17.06,36.14,17.96,12.92,30.56,17.06,23.9,8.06,22.46,19.76,17.24,7.808,14.27,21.974,27.086,3.2,18.5,36.14
12-13,11.48,14.0,9.68,2.3,8.24,12.74,22.46,15.98,24.62,28.76,17.42,11.66,14.18,27.68,24.08,19.76,16.52,27.68,9.86,-0.04,21.02,31.46,18.32,23.54,18.5,30.38,23.9,9.86,23.9,14.0,19.94,12.02,27.14,13.82,18.5,9.734,13.712,23.576,27.68,-0.04,17.87,31.46
12-14,17.06,7.16,9.86,13.82,19.4,5.9,19.94,7.88,29.3,30.2,8.06,19.94,23.36,32.18,24.26,29.84,8.24,28.22,6.98,-11.92,14.36,28.58,19.4,25.7,20.3,21.74,19.4,9.14,20.84,21.74,12.74,15.98,28.58,13.46,21.2,7.376,13.388,21.902,29.084,-11.92,19.4,32.18
12-15,12.38,0.14,9.68,5.54,20.48,9.32,22.46,10.4,23.72,24.26,14.36,13.82,10.58,27.86,12.2,23.54,7.88,24.98,8.96,7.7,17.78,12.56,18.32,19.04,22.64,16.7,10.4,27.32,22.1,26.42,11.48,14.0,13.64,8.78,21.92,8.15,10.562,20.642,24.764,0.14,13.91,27.86
12-16,3.74,8.24,13.28,-2.56,11.84,14.9,18.5,1.76,22.64,27.5,23.18,8.96,11.66,25.7,14.72,17.6,5.54,3.2,17.6,7.7,24.44,3.2,18.32,14.36,24.44,20.12,8.96,2.48,18.86,28.58,7.7,19.4,12.92,7.34,27.5,3.2,8.186,18.536,24.44,-2.56,13.82,28.58
12-17,-3.1,6.8,15.08,4.82,9.5,24.62,6.26,-4.9,26.96,25.7,21.92,16.88,22.1,21.38,17.24,21.74,-7.78,-2.2,19.94,4.46,19.04,1.4,21.74,20.84,24.98,21.92,3.56,-9.76,12.02,30.02,12.02,23.54,6.8,8.42,21.92,-2.83,6.746,21.74,24.872,-9.76,15.98,30.02
12-18,-5.62,8.06,20.48,1.22,,24.8,-0.22,5.72,20.48,-2.02,22.1,11.12,16.34,9.14,16.88,24.62,-2.74,1.04,21.74,4.46,11.84,15.08,24.08,7.34,29.12,21.2,22.28,-2.92,20.84,26.96,22.82,18.86,11.12,13.64,27.14,-1.66,7.772,20.984,24.512,-5.62,15.08,29.12
12-19,5.72,-17.86,14.9,0.68,6.08,15.62,4.82,9.14,4.46,-20.56,12.74,12.92,18.32,9.68,25.88,26.78,18.14,14.54,23.9,4.46,19.94,22.1,20.3,-0.94,14.18,24.62,26.42,8.42,25.88,21.74,20.48,19.94,21.56,12.2,31.46,1.814,9.068,20.318,25.502,-20.56,14.72,26.78
12-20,15.26,-28.12,4.82,6.26,6.98,14.18,7.34,15.44,14.9,-17.86,17.78,4.82,22.46,12.74,27.32,17.06,28.76,15.44,24.08,-9.76,26.24,18.68,24.44,11.84,8.78,24.8,18.5,21.02,19.94,24.98,26.06,25.16,23.0,16.88,32.18,4.82,12.65,22.514,25.79,-28.12,16.97,28.76
12-21,5.18,-27.76,18.32,11.84,4.1,23.18,4.82,16.7,14.18,-17.68,17.24,12.2,20.48,14.9,24.08,9.5,33.44,19.22,9.86,-2.2,24.26,11.3,13.46,19.94,13.46,25.16,18.68,8.78,6.98,22.1,29.12,31.64,24.98,1.58,32.54,2.336,9.824,19.994,25.106,-27.76,14.54,33.44
12-22,15.98,-23.26,13.28,11.48,,18.86,-0.58,15.26,8.24,-13.36,23.18,22.82,13.82,12.74,16.52,3.38,32.9,17.96,5.18,16.7,20.3,23.0,6.08,21.2,16.88,18.86,15.8,7.52,11.66,11.48,32.18,21.02,24.44,-18.58,31.64,0.212,11.48,18.86,23.144,-23.26,15.8,32.9
12-23,23.18,-13.36,12.92,17.6,7.52,23.9,8.42,14.0,8.6,-10.66,22.28,21.02,9.68,2.66,17.42,-3.64,26.96,11.12,12.38,4.46,6.08,24.62,13.82,18.5,24.26,15.26,10.04,16.7,3.56,14.54,30.02,8.42,25.88,10.4,21.92,2.93,8.582,17.69,24.512,-13.36,13.37,30.02
12-24,17.78,-9.04,15.62,15.08,12.38,25.16,11.66,16.52,5.0,3.02,23.9,21.02,17.06,3.56,26.24,10.4,27.5,11.48,19.04,6.44,5.0,18.86,20.48,18.32,18.14,20.3,10.4,24.44,2.3,19.22,25.88,11.48,21.92,24.98,8.06,3.992,11.48,20.318,25.106,-9.04,17.42,27.5
12-25,19.04,-6.16,13.64,6.98,15.98,27.5,10.4,15.26,5.0,14.36,23.9,14.18,18.14,3.56,23.18,19.94,31.64,22.1,7.34,17.24,12.2,23.36,25.16,10.94,15.08,10.94,5.36,14.36,14.54,15.62,19.76,20.48,15.98,28.22,7.34,5.846,13.496,19.778,24.782,-6.16,15.44,31.64
12-26,24.26,-3.46,14.36,12.92,18.86,22.46,9.14,24.8,12.02,19.4,24.98,24.98,17.78,12.2,19.22,23.18,30.92,27.5,2.66,7.34,17.78,24.44,19.58,12.92,22.1,3.02,1.04,7.88,13.82,11.84,13.1,23.54,13.46,30.92,18.5,4.316,12.848,22.532,24.98,-3.46,17.78,30.92
12-27,21.38,4.82,15.98,17.42,17.6,24.44,3.56,22.64,9.86,17.42,26.96,26.24,16.16,24.8,9.68,26.24,25.88,27.86,0.86,4.1,17.6,17.06,21.92,13.28,26.78,6.62,11.84,11.3,19.4,5.9,10.04,15.62,7.7,31.64,15.8,5.144,11.174,21.992,26.618,0.86,17.24,31.64
12-28,15.08,-7.96,16.7,17.42,12.74,23.0,5.36,19.58,12.92,26.6,24.62,17.06,15.62,31.28,7.16,26.78,30.56,20.84,5.0,15.62,13.28,18.5,26.78,12.38,21.2,10.76,12.92,10.94,22.64,2.48,9.14,5.0,0.5,21.02,23.54,5.0,12.236,20.858,26.726,-7.96,15.62,31.28
12-29,10.4,-18.94,15.44,20.66,13.28,12.56,13.28,26.96,25.34,27.5,20.66,17.78,18.14,24.26,14.18,28.58,21.38,13.28,9.14,23.72,13.1,21.02,26.06,7.52,15.08,-4.36,11.48,15.08,26.24,10.58,0.86,10.04,4.46,15.26,23.72,5.378,12.452,20.696,26.186,-18.94,15.08,28.58
12-30,11.3,-11.56,9.5,12.02,18.86,-2.56,18.68,28.22,24.8,24.44,18.68,21.02,16.34,18.14,13.64,22.46,20.84,20.12,10.58,12.38,13.1,-0.58,28.76,7.34,20.12,-11.74,4.1,20.66,21.74,14.72,5.0,12.74,9.14,18.86,25.16,0.824,11.228,20.12,23.846,-11.74,15.53,28.76
12-31,16.16,7.7,8.24,8.96,16.34,-6.52,17.96,31.1,24.26,25.88,21.74,21.38,13.28,24.08,20.12,19.22,30.56,16.52,7.52,17.06,11.66,-7.78,14.54,6.62,22.82,9.68,3.02,10.22,13.1,-2.56,12.74,17.42,4.64,19.94,25.16,3.506,9.608,19.292,24.206,-7.78,15.35,31.1
01-01,20.3,13.82,9.86,19.22,17.96,0.86,8.24,32.36,30.2,18.32,18.86,19.58,4.46,17.96,20.66,16.16,23.9,16.52,5.18,20.66,18.68,-4.72,15.98,11.12,17.96,19.22,14.54,12.2,12.56,-1.12,20.48,13.28,-3.82,12.38,17.24,1.94,12.362,18.896,20.66,-4.72,16.34,32.36
01-02,11.12,13.82,14.72,10.4,17.06,0.68,4.46,28.76,28.4,9.68,11.84,20.48,12.74,23.54,12.38,14.9,24.26,23.72,22.64,20.3,22.82,4.46,28.58,7.88,19.4,18.5,15.08,-1.48,12.56,14.72,19.04,18.5,9.5,10.4,13.64,5.486,11.768,19.49,24.098,-1.48,14.81,28.76
01-03,-0.4,9.68,12.38,-2.02,19.94,-3.46,18.14,22.1,25.52,10.58,6.08,26.6,24.44,28.76,6.8,18.5,24.8,26.06,27.32,-2.02,17.96,8.06,26.06,14.9,19.76,12.74,20.12,0.68,20.84,18.86,21.92,22.1,20.3,12.2,16.34,-0.076,12.038,21.938,26.06,-3.46,18.68,28.76
01-04,6.26,6.26,19.4,1.22,25.34,2.48,2.84,6.26,23.18,15.98,15.62,28.76,17.78,28.76,2.3,11.3,20.12,15.98,28.22,-2.02,20.48,9.14,28.76,14.72,6.26,16.7,24.62,-5.08,22.1,26.42,21.56,23.72,14.36,13.64,19.58,2.354,8.852,21.614,27.68,-5.08,15.98,28.76
01-05,10.58,8.42,20.48,3.02,16.7,7.7,1.76,4.1,12.92,22.82,14.54,28.76,16.16,25.88,-11.92,9.32,19.58,5.9,20.84,4.82,22.28,15.08,31.82,13.46,-2.92,26.78,27.32,-10.48,27.68,27.86,14.36,21.56,11.12,21.2,15.08,2.138,9.23,21.236,27.572,-11.92,14.81,31.82
01-06,16.88,13.82,22.28,0.14,7.7,6.8,9.14,6.44,13.1,25.52,11.3,18.14,22.28,22.28,1.04,8.06,28.04,8.42,15.8,12.38,-0.58,21.92,18.86,22.82,10.4,32.36,26.6,-2.02,28.22,23.0,15.62,18.14,19.76,26.24,13.64,2.66,10.274,22.28,26.492,-2.02,16.34,32.36
01-07,21.02,15.98,16.88,0.14,8.42,17.24,21.2,5.9,16.16,22.28,14.72,11.48,31.28,25.16,20.3,9.68,29.84,10.94,9.68,23.72,1.58,25.7,14.72,17.78,14.72,31.82,24.08,8.42,24.26,16.16,24.08,21.92,26.6,19.94,8.78,8.42,14.72,22.424,26.33,0.14,17.51,31.82
01-08,23.36,13.46,11.84,6.44,13.82,21.92,25.34,15.44,10.04,17.24,15.8,22.1,30.74,23.54,23.18,19.58,20.48,22.82,11.48,24.08,14.0,19.58,19.04,20.84,21.2,27.14,18.5,23.72,26.96,12.74,22.1,14.18,17.6,20.66,4.64,12.11,15.764,22.172,24.962,6.44,20.03,30.74
01-09,26.6,10.94,14.0,-1.12,,27.86,25.16,18.32,3.92,19.22,15.08,26.24,21.02,6.98,26.96,19.04,15.62,26.78,18.5,18.5,21.2,2.48,21.92,28.04,20.84,16.88,15.08,26.42,31.28,29.3,14.54,11.12,12.92,24.44,12.74,7.772,15.08,24.728,27.68,-1.12,19.04,31.28
01-10,27.32,15.8,22.46,5.54,15.98,28.76,19.76,18.32,19.22,23.72,12.38,23.72,18.86,14.54,28.4,20.3,21.92,23.0,13.1,17.24,26.24,-0.94,19.4,26.06,18.68,26.06,12.92,18.32,22.64,27.32,5.54,10.94,20.84,23.72,9.68,11.372,17.114,23.072,26.996,-0.94,19.58,28.76
01-11,13.82,18.5,15.44,8.24,16.34,23.18,19.94,-10.84,11.3,28.22,23.18,20.48,22.64,19.76,23.54,16.52,25.34,-9.58,18.5,18.68,26.06,0.86,3.56,1.04,27.5,26.42,11.66,21.38,18.32,17.6,14.0,17.96,18.32,23.0,5.18,1.796,15.296,21.506,25.844,-10.84,18.41,28.22
01-12,22.28,23.18,4.64,-3.46,17.78,19.58,25.7,-16.06,16.34,24.08,12.02,24.44,25.16,25.16,19.22,10.22,16.52,-15.16,17.6,21.38,25.52,16.16,12.74,-5.8,18.5,19.76,15.62,11.48,26.06,20.3,13.82,23.0,25.52,22.82,0.32,-1.03,15.44,22.838,25.412,-16.06,18.86,26.06
01-13,26.96,21.92,7.16,3.38,21.74,21.2,26.96,9.5,22.1,18.14,17.06,17.06,17.06,28.76,22.46,11.3,23.9,-6.52,19.04,25.88,28.04,25.16,15.08,-9.94,23.0,15.44,23.36,4.46,25.88,25.16,11.3,23.72,25.88,29.3,-13.72,5.27,16.898,24.026,26.96,-9.94,21.83,29.3
01-14,23.36,18.32,4.46,22.1,24.62,26.6,23.72,13.1,19.4,22.46,29.48,12.38,10.94,29.84,22.1,10.94,33.08,-3.64,19.22,23.72,24.26,27.14,23.36,-6.52,24.62,20.12,18.86,7.52,24.44,21.74,13.46,14.36,23.0,28.04,4.1,8.546,17.924,23.774,27.77,-6.52,22.1,33.08
01-15,20.84,19.4,6.62,19.04,21.92,21.56,24.98,5.54,17.96,23.72,28.58,7.52,6.26,16.52,19.58,11.66,20.12,3.38,10.04,25.52,23.9,26.96,23.72,5.72,21.74,24.8,13.64,12.74,15.8,21.92,6.26,21.2,20.66,24.98,-12.1,6.26,13.55,21.92,24.98,3.38,19.85,28.58
01-16,16.7,14.36,9.86,19.04,,12.56,20.48,4.64,14.72,19.4,30.38,3.38,4.46,14.18,19.94,22.28,9.5,11.66,-5.08,27.32,27.14,29.3,2.84,12.92,22.64,24.44,15.8,14.72,15.98,26.24,20.3,21.02,21.74,19.04,4.1,4.496,13.676,20.696,26.96,-5.08,16.7,30.38
01-17,1.76,18.14,1.22,12.38,17.96,6.62,3.38,10.04,23.72,15.08,19.4,13.46,6.26,14.72,18.32,24.98,16.7,8.6,1.94,27.14,22.64,29.3,3.2,20.3,20.48,20.84,22.64,22.64,23.36,26.96,17.96,21.38,24.26,9.32,19.22,3.254,12.146,21.506,24.764,1.22,18.05,29.3
01-18,1.94,20.84,9.86,12.74,21.02,12.74,-6.52,22.46,23.0,23.72,24.44,18.68,4.46,20.12,19.04,28.94,17.6,3.92,8.06,28.76,22.28,21.2,15.62,22.64,20.84,28.76,24.44,27.68,31.82,23.36,14.0,16.52,24.44,12.2,17.06,5.54,15.458,23.036,28.436,-6.52,20.84,31.82
01-19,9.32,8.42,14.36,19.04,22.28,14.72,10.04,23.54,23.9,23.72,23.36,19.58,8.42,24.08,18.86,33.8,11.48,16.88,13.82,25.16,20.3,11.84,25.34,20.48,23.54,21.74,20.12,25.7,26.24,24.44,17.24,11.3,19.04,14.18,24.26,10.418,14.684,23.54,25.286,8.42,19.85,33.8
01-20,13.1,3.74,15.62,20.12,15.26,3.74,12.38,23.36,18.5,23.54,27.86,13.64,10.22,26.42,14.18,34.34,14.18,19.22,2.48,28.22,17.6,9.68,26.42,20.66,21.2,14.54,22.1,19.04,10.4,28.4,23.54,17.06,17.78,12.38,30.74,9.842,14.126,21.29,27.428,2.48,17.69,34.34
01-21,14.36,4.64,12.38,18.14,,6.8,13.64,17.78,13.82,19.04,23.36,17.96,20.66,25.52,13.64,30.2,14.18,12.56,-10.84,28.76,16.7,20.12,28.94,23.72,24.26,8.06,20.48,18.14,6.62,19.94,27.14,19.4,19.04,15.8,28.94,7.052,14.036,20.264,26.816,-10.84,18.14,30.2
01-22,16.16,7.7,8.78,17.06,,4.1,6.08,14.18,14.9,17.96,17.24,21.2,9.32,25.7,17.96,27.32,12.02,14.36,3.02,22.46,15.26,17.42,15.44,21.2,19.04,18.68,27.86,19.76,14.18,10.4,20.66,19.4,21.2,13.28,28.4,7.916,14.18,19.184,22.208,3.02,17.06,27.86
01-23,10.94,5.72,15.62,3.2,21.56,6.08,2.66,7.16,17.06,16.52,16.34,16.88,5.9,26.96,20.48,28.4,19.04,21.74,6.8,21.02,15.08,17.06,19.22,29.12,14.9,22.82,27.5,17.24,15.8,13.64,22.46,9.86,23.72,14.54,27.86,5.954,14.45,20.534,25.988,2.66,16.7,29.12
01-24,7.7,3.02,19.76,8.24,20.3,16.16,7.52,3.74,23.54,8.6,21.38,19.76,13.64,20.48,22.46,26.24,19.76,25.88,11.66,21.74,14.36,14.9,11.12,27.5,25.88,24.8,21.74,10.22,23.72,15.44,26.96,5.36,17.24,10.04,25.52,7.574,11.606,21.74,25.88,3.02,18.5,27.5
01-25,13.46,-4.0,24.44,19.04,20.12,25.7,1.76,11.84,20.3,11.66,23.9,19.22,21.74,26.6,14.0,25.52,23.72,23.72,14.54,2.48,16.34,22.46,23.36,27.68,23.9,30.92,16.16,6.62,22.64,16.16,24.08,6.98,14.36,13.82,22.64,6.728,14.324,23.72,25.646,-4.0,19.67,30.92
01-26,10.04,2.3,16.52,21.02,18.14,25.88,-1.12,18.14,25.16,23.9,21.92,12.38,23.18,30.38,9.14,23.54,21.56,19.58,20.3,-6.16,20.66,21.2,23.18,31.1,17.96,34.52,15.26,8.42,14.36,21.2,27.32,10.94,14.0,17.42,21.92,8.636,15.17,22.046,26.888,-6.16,19.94,34.52
01-27,3.38,7.16,20.3,15.44,10.22,22.28,7.88,3.74,25.34,9.14,11.12,12.56,18.14,30.02,15.08,25.88,19.4,7.34,24.44,-8.68,14.54,22.46,10.58,23.9,7.7,34.7,23.9,13.82,17.42,22.46,23.36,15.98,12.56,19.04,23.72,7.214,11.066,22.298,25.07,-8.68,15.71,34.7
01-28,10.4,-8.32,26.78,16.7,10.4,13.82,7.7,18.68,19.94,6.8,8.42,16.88,8.96,21.74,21.56,27.86,15.62,17.96,14.9,7.88,19.4,26.24,12.74,10.4,10.4,27.32,28.4,23.0,24.98,9.14,22.1,24.62,17.24,0.68,30.2,7.754,10.4,21.578,26.618,-8.32,16.79,28.4
01-29,11.84,-8.14,22.82,18.32,8.24,5.9,4.28,16.7,20.84,14.72,3.38,16.34,-0.4,23.36,24.26,24.44,15.44,12.92,5.36,12.92,18.5,26.6,21.74,7.7,20.3,20.12,24.44,21.74,30.2,12.56,19.76,27.68,16.7,-18.4,31.46,3.65,12.488,20.93,24.44,-18.4,16.7,30.2
01-30,15.44,3.56,21.38,17.78,,19.94,-9.04,20.84,23.36,16.34,8.78,12.92,,27.5,24.08,21.92,24.98,8.96,7.52,17.6,21.92,24.44,22.28,18.14,18.32,22.1,16.52,23.0,26.6,15.98,18.32,22.46,20.48,-7.06,29.84,7.646,16.394,22.046,24.404,-9.04,19.13,27.5
01-31,11.48,19.04,26.96,21.38,1.22,26.6,-10.48,24.26,15.62,20.84,10.76,11.12,6.8,33.62,9.68,19.4,20.12,6.98,9.68,16.16,16.52,-3.82,21.02,22.82,14.18,18.86,8.6,20.12,13.82,20.12,20.84,17.06,15.98,0.86,28.22,2.894,11.084,20.12,23.828,-10.48,16.34,33.62
02-01,13.28,25.34,24.08,24.44,5.72,30.38,-16.6,23.36,10.4,17.06,18.5,15.98,11.48,30.74,6.8,20.84,20.66,-4.18,12.56,10.04,18.68,-16.42,21.2,23.0,3.74,17.78,5.72,4.28,15.62,26.96,28.94,22.64,7.16,11.84,28.04,3.902,10.364,21.344,26.474,-16.6,16.52,30.74
02-02,9.14,26.06,20.3,18.32,5.9,18.32,-18.58,17.06,17.6,13.64,26.96,19.94,11.84,16.88,10.58,24.44,19.22,2.12,9.32,17.42,18.14,7.52,18.32,21.56,11.66,25.88,4.1,1.04,27.5,30.56,21.02,31.1,-1.48,17.42,31.28,2.714,11.552,19.976,26.69,-18.58,17.51,31.1
02-03,15.62,23.54,16.34,17.06,7.88,19.22,-7.6,9.86,25.34,16.34,18.14,18.14,11.48,11.48,15.62,29.84,19.4,15.8,15.08,21.74,23.72,24.44,10.58,20.3,7.34,26.24,6.44,20.48,28.4,26.78,2.66,19.94,6.26,23.9,28.22,6.71,14.72,20.606,25.97,-7.6,17.6,29.84
02-04,16.7,25.7,19.94,21.2,5.9,26.06,9.86,4.64,30.38,23.18,17.78,24.08,12.56,5.36,16.88,28.58,23.54,24.26,6.8,25.16,22.28,28.22,15.44,22.46,-14.44,22.1,12.38,26.96,30.02,22.28,-1.12,13.82,16.52,22.64,20.84,5.522,15.278,23.594,27.842,-14.44,21.65,30.38
02-05,11.12,27.68,18.14,21.56,8.6,25.34,23.72,1.04,26.78,17.96,26.78,21.38,17.42,5.9,17.78,18.68,17.6,32.36,8.6,26.78,20.84,19.4,17.42,26.24,-22.36,33.44,16.88,27.5,25.88,20.66,8.96,16.7,17.78,20.84,24.8,8.6,17.42,23.882,27.284,-22.36,19.04,33.44
02-06,14.72,22.46,16.52,20.48,14.72,29.3,25.52,2.12,24.26,23.36,27.86,14.36,20.12,-3.82,13.82,13.1,15.98,34.7,9.14,24.26,24.8,13.1,14.0,21.56,-10.66,38.12,21.56,27.5,23.18,7.7,16.88,17.6,17.42,22.28,28.22,8.132,14.684,23.198,27.752,-10.66,18.86,38.12
02-07,5.36,23.36,18.32,21.56,15.98,26.78,27.86,3.02,28.04,26.06,27.68,-0.58,25.16,10.4,17.06,12.92,18.5,32.0,13.64,23.54,20.12,12.74,16.7,16.7,11.84,33.62,23.36,22.1,26.06,-2.56,20.3,13.46,21.38,22.28,28.04,6.872,15.746,23.378,27.806,-2.56,20.21,33.62
02-08,5.0,23.9,22.46,18.32,3.38,21.38,30.38,5.72,25.16,18.68,31.28,-10.12,19.94,11.66,15.26,12.92,26.6,29.3,14.18,26.42,16.88,-3.82,18.68,19.22,15.26,31.46,29.3,24.08,29.66,6.62,20.12,11.48,22.1,16.16,21.92,5.216,15.152,23.918,29.552,-10.12,18.95,31.46
02-09,16.52,24.26,20.84,23.9,5.54,15.26,29.3,8.24,20.48,27.32,29.3,3.74,13.28,12.92,13.1,14.9,14.0,27.68,21.92,19.4,10.94,-0.4,22.82,15.44,20.48,32.36,32.9,34.16,19.04,10.22,7.88,14.9,27.5,10.76,16.34,7.988,13.262,22.928,29.3,-0.4,17.78,34.16
02-10,24.44,21.74,24.62,16.88,12.02,1.4,13.28,13.82,16.34,10.04,19.58,13.82,20.48,19.04,13.82,16.52,2.66,28.58,25.7,14.54,14.0,11.84,20.12,9.32,21.74,29.12,30.56,30.2,8.42,15.44,8.6,14.36,29.66,16.16,12.38,8.816,13.82,20.606,28.958,1.4,16.25,30.56
02-11,26.24,23.54,24.08,17.78,5.36,-12.1,13.82,16.34,17.06,1.22,22.1,12.92,20.12,17.6,4.64,23.0,15.08,30.38,21.2,12.2,17.96,18.32,21.56,5.54,20.12,27.5,32.36,17.06,12.38,7.7,12.02,5.18,18.5,22.1,17.96,5.234,12.866,21.236,25.592,-12.1,17.69,32.36
02-12,13.28,23.36,23.0,17.06,3.2,-12.46,23.72,16.16,19.4,13.1,23.9,14.36,11.48,17.42,16.88,28.04,24.26,23.0,25.7,10.58,23.72,26.24,24.8,14.72,24.62,31.28,34.16,14.72,9.68,15.8,14.9,-3.46,17.6,22.1,19.4,9.95,14.72,23.72,26.078,-12.46,17.51,34.16
02-13,-6.52,19.76,22.82,14.18,14.0,3.02,31.82,14.0,21.56,25.52,20.48,13.46,15.62,25.7,19.94,24.8,22.1,17.6,19.04,11.84,22.64,26.96,22.82,21.02,25.7,31.46,26.24,22.1,15.98,20.12,17.42,-2.56,23.36,23.54,17.42,12.326,17.276,22.874,26.078,-6.52,20.75,31.82
02-14,-9.58,24.62,22.46,9.14,17.42,9.14,28.58,17.24,21.92,22.28,27.14,6.62,12.74,28.58,18.14,17.06,11.66,15.62,9.68,14.36,22.64,31.28,18.86,17.42,21.38,33.8,25.88,25.7,21.02,25.34,18.14,2.48,26.6,11.3,16.34,9.14,15.494,22.838,28.148,-9.58,18.5,33.8
02-15,-7.6,28.94,21.02,-10.12,23.18,4.82,23.18,24.62,25.52,18.14,21.02,13.28,16.52,25.16,19.22,3.2,1.04,23.0,19.58,20.3,25.34,30.92,10.58,20.12,28.58,21.56,29.48,28.04,12.38,22.82,15.08,13.82,24.26,1.04,17.6,1.688,14.954,23.288,28.418,-10.12,20.66,30.92
02-16,5.0,28.76,19.04,-13.18,,15.26,26.96,25.52,23.9,18.68,17.78,21.02,23.54,23.0,20.66,3.92,-7.6,22.1,19.94,22.82,26.96,26.96,12.92,23.0,24.98,12.74,30.38,32.72,12.92,14.0,19.4,16.7,12.92,10.4,6.98,6.08,14.756,23.216,26.96,-13.18,19.94,32.72
02-17,7.88,14.72,12.02,-0.22,25.88,21.92,23.36,24.98,19.94,19.76,13.1,21.74,28.22,19.22,29.48,12.56,-17.86,23.36,14.18,23.54,21.74,13.1,19.04,18.14,22.46,17.42,34.34,27.68,19.94,8.24,10.58,11.12,15.62,17.6,10.04,8.942,14.072,21.974,27.14,-17.86,19.13,34.34
02-18,2.66,12.38,15.26,17.78,18.68,23.9,27.14,16.88,20.48,17.6,10.94,25.16,22.82,18.32,31.1,18.32,-4.0,25.7,19.94,23.36,14.54,18.5,21.38,10.4,21.74,27.68,30.02,31.28,10.94,5.0,4.64,9.5,23.18,14.9,19.76,6.35,14.864,22.856,27.518,-4.0,18.41,31.28
02-19,7.16,18.68,22.82,23.72,12.2,29.12,23.0,18.32,16.88,20.48,15.44,22.1,21.38,19.22,20.66,27.14,6.08,18.14,22.28,19.58,8.78,21.2,13.82,16.7,17.96,30.2,25.7,29.66,-5.62,0.86,0.32,17.06,25.52,13.82,27.14,6.404,16.574,22.118,26.708,-5.62,18.95,30.2
02-20,13.28,24.8,27.68,19.22,8.96,33.26,21.02,12.02,18.5,13.28,20.84,23.54,20.12,19.22,15.26,26.6,5.72,20.48,21.92,13.46,7.16,11.48,13.28,19.94,12.92,22.64,20.12,28.94,-7.06,2.84,9.32,17.78,23.72,23.36,27.68,7.7,13.28,21.11,26.06,-7.06,19.22,33.26
02-21,18.68,25.88,26.06,6.8,10.04,32.0,26.24,8.24,24.44,18.14,31.1,23.18,18.68,21.92,12.92,25.7,8.6,22.28,20.84,21.92,10.4,14.18,22.1,13.46,15.26,7.7,16.7,29.3,2.84,-0.22,19.4,16.16,1.76,16.7,23.0,7.07,13.406,22.118,26.186,-0.22,18.41,32.0
02-22,24.62,28.22,24.98,4.28,8.78,26.06,16.16,6.62,21.38,15.62,28.94,21.92,30.02,18.14,16.34,18.68,15.26,29.66,17.42,23.0,9.68,13.46,26.24,14.9,9.68,-4.0,18.32,19.04,5.0,2.84,20.12,24.08,-14.44,-9.94,23.9,3.272,13.082,22.028,27.626,-14.44,17.78,30.02
02-23,23.0,18.14,15.62,7.34,8.78,26.96,9.86,0.5,15.8,22.82,26.6,21.02,29.48,-2.92,20.84,16.16,20.12,22.1,19.04,30.56,17.42,9.86,13.82,17.78,18.68,15.62,14.9,11.48,6.26,8.78,22.1,16.88,-2.74,-1.48,23.0,2.228,11.318,20.192,25.52,-2.92,16.52,30.56
